step,window,regressor,parameter,mse,pocid
1,111,AutoRegression,[],0.18839798550146084,0.47735191637630664
1,112,AutoRegression,[],0.1883205538687668,0.48299912816041846
1,113,AutoRegression,[],0.18850184945079443,0.48429319371727747
1,114,AutoRegression,[],0.1888510512836086,0.48384279475982533
1,115,AutoRegression,[],0.1891469997106097,0.48164335664335667
1,116,AutoRegression,[],0.18903845346710937,0.48118985126859143
1,117,AutoRegression,[],0.1890767521256113,0.4816112084063047
1,118,AutoRegression,[],0.19236271914177766,0.4785276073619632
1,119,AutoRegression,[],0.19066266434879064,0.47982456140350876
1,120,AutoRegression,[],0.19022645500749452,0.4784899034240562
1,121,AutoRegression,[],0.18880265186442588,0.47627416520210897
1,122,AutoRegression,[],0.18879889751812065,0.4731750219876869
1,123,AutoRegression,[],0.18875071720367503,0.4709507042253521
1,124,AutoRegression,[],0.18835086695391318,0.4669603524229075
1,125,AutoRegression,[],0.1887605755422769,0.4691358024691358
1,126,AutoRegression,[],0.18729401719510538,0.46954986760812
1,127,AutoRegression,[],0.18761774054575933,0.4673144876325088
1,128,AutoRegression,[],0.18699354385426378,0.46949602122015915
1,129,AutoRegression,[],0.18643262374326605,0.4690265486725664
1,130,AutoRegression,[],0.18668130004159694,0.4685562444641275
1,131,AutoRegression,[],0.1861603892780028,0.4734042553191489
1,132,AutoRegression,[],0.18656811375170554,0.47737355811889975
1,133,AutoRegression,[],0.18672131421637464,0.4698046181172291
1,134,AutoRegression,[],0.18620835968772728,0.4693333333333333
1,135,AutoRegression,[],0.18549420008443168,0.47597864768683273
1,136,AutoRegression,[],0.18547881845116704,0.4781834372217275
1,137,AutoRegression,[],0.1860199470340765,0.48128342245989303
1,138,AutoRegression,[],0.1848269743188787,0.47546833184656556
1,139,AutoRegression,[],0.18415630307571224,0.47946428571428573
1,140,AutoRegression,[],0.18418092678810305,0.4736371760500447
1,141,AutoRegression,[],0.18312831346731315,0.46869409660107336
1,142,AutoRegression,[],0.182486225398778,0.4726947179946285
1,143,AutoRegression,[],0.18215942629677148,0.47401433691756273
1,144,AutoRegression,[],0.18201397213025935,0.4744394618834081
1,145,AutoRegression,[],0.1821432279949437,0.473967684021544
1,146,AutoRegression,[],0.181334836222148,0.4779874213836478
1,147,AutoRegression,[],0.1811816680822208,0.47571942446043164
1,148,AutoRegression,[],0.18134464229573785,0.47974797479747977
1,149,AutoRegression,[],0.18125172407816542,0.48018018018018016
