step,window,mse,tu,pocid
1,10,6.787266052130593,1.3039008363614684,0.5060048038430744
1,11,6.792695449786325,1.303914085832312,0.5056089743589743
1,12,6.798117650539071,1.3039169123673038,0.5060144346431436
1,13,6.803573282682359,1.3039197073918214,0.5064205457463884
1,14,6.809014787327085,1.3039149267271073,0.5060240963855421
1,15,6.814463182565201,1.3039132132004054,0.5056270096463023
1,16,6.819933868955037,1.3039123312629115,0.505229283990346
1,17,6.825407639291464,1.3039079841374375,0.5048309178743962
1,18,6.83086115068493,1.3039059707637917,0.5052377115229654
1,19,6.83635893297491,1.3039067826062518,0.5056451612903226
1,20,6.841875678593847,1.303905171841356,0.5060532687651331
1,21,6.847383242864835,1.3039036537402269,0.505654281098546
1,22,6.852910634330369,1.3039043142334876,0.5060630557801131
1,23,6.858454736785327,1.3039035042196425,0.5064724919093851
1,24,6.863997120287898,1.3039044852610493,0.5068825910931174
1,25,6.86955950765352,1.303904942243755,0.5072933549432739
1,26,6.875095160133368,1.3039014813628138,0.5077047850770479
1,27,6.880657331529581,1.3039014909610256,0.5081168831168831
1,28,6.886245914974274,1.3039017503337533,0.5077173030056864
1,29,6.891844163685636,1.3039016247922308,0.5073170731707317
1,30,6.897442590362535,1.3039032066232372,0.5077298616761595
1,31,6.9030591740861365,1.3039046490066228,0.507328990228013
1,32,6.908679923209271,1.3039044981544667,0.5077424612876935
1,33,6.914314155519304,1.3039072796269982,0.5081566068515497
1,34,6.919942493605441,1.3039002401698934,0.5077551020408163
1,35,6.925524136891792,1.3039228426600316,0.5081699346405228
1,36,6.931153065503769,1.3039087733778298,0.5077677841373671
1,37,6.936722876159299,1.303889546198232,0.5073649754500819
1,38,6.942270824642822,1.3038842665201222,0.506961506961507
1,39,6.947932649544626,1.3038996064378405,0.5073770491803279
1,40,6.953543012669764,1.3038916494741584,0.5077932731747334
1,41,6.959208565225323,1.3038845699579777,0.5073891625615764
1,42,6.964846224048205,1.3038818552850675,0.5069843878389483
1,43,6.970559273757308,1.303878481498877,0.506578947368421
1,44,6.976243538363052,1.3038700561934942,0.5061728395061729
1,45,6.981892933552992,1.3038710456920397,0.5065897858319605
1,46,6.987641118622331,1.3038713448585466,0.5070074196207749
1,47,6.993401218555189,1.3038690660363992,0.5074257425742574
1,48,6.999162160932193,1.3038678011618965,0.5070189925681255
1,49,7.004849172819099,1.303863180383655,0.5074380165289256
1,50,7.010617277088501,1.3038664946648464,0.5078577336641853
1,51,7.016417447755701,1.30385974596195,0.5082781456953642
1,52,7.022121181257476,1.3038308120858586,0.507870753935377
1,53,7.027549059517227,1.3038037548924488,0.5074626865671642
1,54,7.033234660396494,1.3038003737168673,0.5078838174273859
1,55,7.03905752971576,1.3038020662834582,0.5074750830564784
1,56,7.044886606816291,1.303796087294251,0.5070656691604323
1,57,7.050683896468847,1.3037992309266055,0.5074875207986689
1,58,7.056553241928023,1.3038046518892386,0.5070774354704413
1,59,7.062389619629628,1.3038032939763113,0.5075
1,60,7.068271512556757,1.3038035055074513,0.5079232693911593
1,61,7.074170978668149,1.3038026900697475,0.508347245409015
1,62,7.080048583681425,1.3037997549538285,0.5079365079365079
1,63,7.085951968784836,1.3038244924765554,0.5083612040133779
1,64,7.091686145234775,1.3037806598417103,0.507949790794979
1,65,7.09732407332961,1.303765735439169,0.5083752093802345
1,66,7.103190918506099,1.3037657775008848,0.5088013411567477
1,67,7.109149216256523,1.3037726146523474,0.5083892617449665
1,68,7.115057066144229,1.303765909881807,0.5079764903442485
1,69,7.120999046872081,1.3037606630750582,0.507563025210084
1,70,7.126946163162321,1.3037587685027068,0.5071488645920942
1,71,7.132933154882153,1.3037564077006631,0.5067340067340067
1,72,7.1389108763455935,1.303804239902052,0.5071609098567817
1,73,7.144573954656172,1.3038219092405192,0.5075885328836425
1,74,7.150587369151428,1.3038232982573643,0.5080168776371308
1,75,7.156623328828828,1.3038319388549706,0.5076013513513513
1,76,7.162671747158823,1.3038295503011312,0.5080304311073541
1,77,7.168717963150965,1.3038326057522283,0.5084602368866328
1,78,7.174786159751623,1.3038332664529262,0.5080440304826418
1,79,7.180866148022598,1.3038333303317082,0.5076271186440678
1,80,7.186954376778813,1.3038340509633504,0.5080576759966073
1,81,7.193050367100546,1.303833826510135,0.5076400679117148
1,82,7.1990673078448015,1.3038408982515408,0.508071367884452
1,83,7.205188018896446,1.303840374121717,0.5085034013605442
1,84,7.2113132001891245,1.3038450161624735,0.5080851063829788
1,85,7.2174529805035,1.303843598329895,0.5085178875638842
1,86,7.223598000568342,1.3038413057552654,0.5080988917306053
1,87,7.229684688282137,1.3038665609435383,0.5085324232081911
1,88,7.235802371382483,1.3038580183306847,0.5081127241673783
1,89,7.241937587084518,1.3038490819618564,0.5076923076923077
1,90,7.248071741469442,1.303848877830663,0.5081266039349872
1,91,7.254275141933028,1.3038497587382833,0.5077054794520548
1,92,7.2604558880319905,1.3038567157962495,0.508140531276778
1,93,7.2666767383266615,1.3038537766517861,0.5077186963979416
1,94,7.2727902805913205,1.303847495406564,0.5081545064377683
1,95,7.278999283314241,1.303849588086441,0.5085910652920962
1,96,7.285256223559758,1.3038558630677137,0.5081685296646603
1,97,7.291516015681773,1.3038507186084844,0.5077452667814114
1,98,7.297735141353238,1.3038537248496243,0.508182601205857
1,99,7.304024137164749,1.3038553676984874,0.5077586206896552
1,100,7.31031915367654,1.3038547134402392,0.5073339085418465
1,101,7.316625550949914,1.3038602703954523,0.5077720207253886
1,102,7.322935474118888,1.3038547917104997,0.5073465859982714
1,103,7.329225748942714,1.3038555218734549,0.5077854671280276
1,104,7.335568282058681,1.3038557591312945,0.5073593073593073
1,105,7.34192445522819,1.3038591680269036,0.5069324090121318
1,106,7.348228899681988,1.3038484391334069,0.5065047701647876
1,107,7.354537885030862,1.303841973902144,0.5060763888888888
1,108,7.360885528718988,1.303841069351821,0.5065160729800173
1,109,7.36728118763285,1.3038408606354193,0.5060869565217392
1,110,7.373691460400347,1.303841711250554,0.5065274151436031
1,111,7.380107993805652,1.3038395467213497,0.5060975609756098
1,112,7.386510790661627,1.3038338336242723,0.5056669572798606
1,113,7.392910101997283,1.303834061801871,0.506108202443281
1,114,7.399363987578844,1.3038343610252559,0.5056768558951965
1,115,7.405828078088576,1.3038340189748259,0.5052447552447552
1,116,7.412283065227956,1.3038285400947043,0.5048118985126859
1,117,7.418728691574236,1.3038295780418725,0.5052539404553416
1,118,7.425229242574738,1.3038293956958178,0.5056967572304996
1,119,7.431738702923977,1.30382729888914,0.5052631578947369
1,120,7.438235049458588,1.3038224498762345,0.504828797190518
1,121,7.444717818004294,1.303814935883323,0.5043936731107206
1,122,7.4512060482751865,1.3038084993263217,0.503957783641161
1,123,7.457714504303597,1.30380300987486,0.5035211267605634
1,124,7.464237209202152,1.3038165403604831,0.5039647577092511
1,125,7.470786467960023,1.3038210124011287,0.5044091710758377
1,126,7.477380032558594,1.3038351001364685,0.5039717563989409
1,127,7.48370515233608,1.3037993771116527,0.5035335689045937
1,128,7.490061026819922,1.3038437810347345,0.5039787798408488
1,129,7.496667678662732,1.3038339031595954,0.504424778761062
1,130,7.503250929239246,1.3038164372048238,0.503985828166519
1,131,7.509535834515363,1.3037804923313052,0.5035460992907801
1,132,7.515930719905352,1.3037653807124197,0.5039929015084295
1,133,7.522518422340634,1.3037723777208252,0.5044404973357016
1,134,7.529184206617283,1.3037682914858217,0.5048888888888889
1,135,7.535859034400948,1.3037674837941715,0.505338078291815
1,136,7.542564716730978,1.3037679349629387,0.5057880676758683
1,137,7.549275697365815,1.3037672709307828,0.5062388591800356
1,138,7.556006144513827,1.303768913941663,0.5066904549509367
1,139,7.562745346428569,1.3037673506594163,0.50625
1,140,7.569494289742824,1.3037658986009397,0.5058087578194816
1,141,7.576248955674815,1.3037659406818538,0.5062611806797853
1,142,7.583030825823137,1.3037659590395598,0.5067144136078783
1,143,7.589825646356033,1.3037661122871473,0.5062724014336918
1,144,7.596632505430991,1.3037667792352163,0.5058295964125561
1,145,7.603448144025532,1.3037655885548616,0.5053859964093357
1,146,7.610258509733453,1.3037626269753075,0.504941599281222
1,147,7.617082033573138,1.3037593940480796,0.5044964028776978
1,148,7.623851594359436,1.3037459442086046,0.504050405040504
1,149,7.630598808008006,1.3037285154019804,0.5036036036036036
3,10,11.03836229089939,2.120579501696246,0.16092874299439552
3,11,11.065713254273497,2.1241582229170297,0.17307692307692307
3,12,10.757965445246365,2.0634378590430638,0.16038492381716118
3,13,11.06489596147673,2.120614307738727,0.16131621187800962
3,14,11.092335695850062,2.1241667261516834,0.17349397590361446
3,15,10.783859493747762,2.0634384981494267,0.159967845659164
3,16,11.09150938696702,2.120602673480386,0.16090104585679807
3,17,11.11897102093397,2.1241446512424007,0.17310789049919484
3,18,10.809757864804364,2.063417165378408,0.16035455278001612
3,19,11.118193630107532,2.1205862592281894,0.16129032258064516
3,20,11.145789756255038,2.1241351282498986,0.1735270379338176
3,21,10.835937703464365,2.0634196155145004,0.16074313408723748
3,22,11.145125843168962,2.1205847718000164,0.16168148746968472
3,23,11.172793399136994,2.1241305886945447,0.1739482200647249
3,24,10.862249131084114,2.0634238506619216,0.16032388663967612
3,25,11.17221180551054,2.120591772888087,0.1620745542949757
3,26,11.199948343876718,2.124137028568274,0.17437145174371452
3,27,10.888642838383833,2.063424703835713,0.16071428571428573
3,28,11.199340997562963,2.120580759819174,0.16165718927701056
3,29,11.227214478048774,2.1241325891082754,0.17398373983739837
3,30,10.915195126299606,2.0634253799594187,0.161106590724166
3,31,11.226690446254077,2.1205870836377767,0.16123778501628663
3,32,11.25464230480847,2.124136540154601,0.17440912795436023
3,33,10.941891416711977,2.0634330018472635,0.16150081566068517
3,34,11.25416699428572,2.1205912818129335,0.16163265306122448
3,35,11.282129118736377,2.124179092832364,0.17483660130718953
3,36,10.968629008085758,2.063461735146633,0.16189697465249386
3,37,11.281669722858707,2.120620962468266,0.16121112929623568
3,38,11.309474399126392,2.1241276106786837,0.17444717444717445
3,39,10.995032248816026,2.0634175288465286,0.16229508196721312
