step,window,regressor,parameter,mse,pocid
1,80,AutoRegression,[],581.8891064700298,0.5182357930449534
1,81,AutoRegression,[],576.9172375909378,0.5169779286926995
1,82,AutoRegression,[],573.0075699281633,0.5131690739167375
1,83,AutoRegression,[],572.1386582533712,0.5144557823129252
1,84,AutoRegression,[],570.3302610440667,0.5140425531914894
1,85,AutoRegression,[],582.1578535805975,0.5221465076660988
1,86,AutoRegression,[],578.4223109320808,0.5225916453537937
1,87,AutoRegression,[],575.7562327004796,0.5196245733788396
1,88,AutoRegression,[],573.6230681595455,0.5217762596071733
1,89,AutoRegression,[],575.5886265102998,0.5222222222222223
1,90,AutoRegression,[],572.7529401347012,0.5192472198460223
1,91,AutoRegression,[],572.5861450077713,0.5196917808219178
1,92,AutoRegression,[],571.3159179112707,0.5201371036846615
1,93,AutoRegression,[],569.3780580384622,0.5222984562607204
1,94,AutoRegression,[],568.1840021087678,0.5210300429184549
1,95,AutoRegression,[],565.3211495071922,0.5214776632302406
1,96,AutoRegression,[],563.7512861903413,0.5253654342218401
1,97,AutoRegression,[],562.7611911793008,0.5206540447504303
1,98,AutoRegression,[],562.3351107843064,0.5202411714039621
1,99,AutoRegression,[],560.6234171112692,0.5189655172413793
1,100,AutoRegression,[],561.6513233296891,0.5220017256255393
1,101,AutoRegression,[],561.9437365759255,0.5233160621761658
1,102,AutoRegression,[],560.8420914169194,0.5185825410544511
1,103,AutoRegression,[],562.1597810580072,0.5129757785467128
1,104,AutoRegression,[],562.9141555911586,0.5073593073593073
1,105,AutoRegression,[],563.7551693319956,0.511265164644714
1,106,AutoRegression,[],560.9007007997817,0.5108412836079792
1,107,AutoRegression,[],560.5372403670792,0.5060763888888888
1,108,AutoRegression,[],560.829714849295,0.5108601216333623
1,109,AutoRegression,[],559.4498734645248,0.5121739130434783
1,110,AutoRegression,[],558.2902240572106,0.5091383812010444
1,111,AutoRegression,[],557.6019094953733,0.514808362369338
1,112,AutoRegression,[],557.4760740018982,0.5082824760244115
1,113,AutoRegression,[],559.8560114027956,0.5078534031413613
1,114,AutoRegression,[],558.7834675300588,0.5161572052401747
1,115,AutoRegression,[],558.8584684540813,0.5192307692307693
1,116,AutoRegression,[],557.5381939033813,0.5153105861767279
1,117,AutoRegression,[],555.597341196275,0.5157618213660246
1,118,AutoRegression,[],567.094120445143,0.5083260297984225
1,119,AutoRegression,[],566.8939351345334,0.5008771929824561
1,120,AutoRegression,[],565.0799677058728,0.5021949078138718
1,121,AutoRegression,[],565.6445599828585,0.5026362038664324
1,122,AutoRegression,[],566.745892698926,0.5030782761653474
1,123,AutoRegression,[],566.7263930585823,0.5008802816901409
1,124,AutoRegression,[],564.7080550731353,0.5013215859030837
1,125,AutoRegression,[],563.0812048606907,0.5061728395061729
1,126,AutoRegression,[],563.141205696739,0.5110326566637247
1,127,AutoRegression,[],559.0462812558825,0.5097173144876325
1,128,AutoRegression,[],560.8569762445669,0.5101679929266136
1,129,AutoRegression,[],555.1571119391157,0.5123893805309735
1,130,AutoRegression,[],552.6933389847982,0.5057573073516386
1,131,AutoRegression,[],552.3046765191734,0.5106382978723404
1,132,AutoRegression,[],552.9442641981465,0.5128660159716061
1,133,AutoRegression,[],551.0608057793982,0.5097690941385435
1,134,AutoRegression,[],549.1237840487953,0.512
1,135,AutoRegression,[],549.289105168236,0.5088967971530249
1,136,AutoRegression,[],548.9235172004427,0.5075690115761353
1,137,AutoRegression,[],545.0444433376149,0.5115864527629234
1,138,AutoRegression,[],547.2544674927536,0.512042818911686
1,139,AutoRegression,[],546.2825192784936,0.5125
1,140,AutoRegression,[],546.541862958444,0.5120643431635389
1,141,AutoRegression,[],546.811495217876,0.5152057245080501
1,142,AutoRegression,[],545.7933043654284,0.5156669650850493
1,143,AutoRegression,[],547.8531838384293,0.5116487455197133
1,144,AutoRegression,[],548.6973205208334,0.5192825112107623
1,145,AutoRegression,[],549.2448882068576,0.5179533213644524
1,146,AutoRegression,[],549.870164247738,0.5220125786163522
1,147,AutoRegression,[],547.1039611347421,0.5143884892086331
1,148,AutoRegression,[],546.7900869658605,0.5157515751575158
1,149,AutoRegression,[],547.0379638226512,0.5180180180180181
